"tipo_visto";"andamento";"amparo_legal";"modalidade";"mes";"ano";"valor_investimento_ajustado";"uf_estrangeiro";"data_nascimento";"genero";"escolaridade";"pais";"codigo_cbo";"descricao_cbo";"codigo_cnae";"descricao_cnae";"estado_civil"
"Residência Prévia";"DEFERIDO";"PORTARIA INTERMINISTERIAL MJSP/MRE Nº 38/2023";"CNIg";1;2025;;"Rio Grande do Sul";2000-09-07;"M";"3_Fundamental";"AFAR FRANCÊS";10105;"Oficial general da aeronáutica";;"";"Solteiro(a)"
"Residência Prévia";"INDEFERIDO";"PORTARIA INTERMINISTERIAL MJSP/MRE Nº 38/2023";"CNIg";1;2025;;"Rio Grande do Sul";2007-10-27;"M";"3_Fundamental";"AFAR FRANCÊS";10105;"Oficial general da aeronáutica";;"";"Solteiro(a)"
"Residência Prévia";"INDEFERIDO";"PORTARIA INTERMINISTERIAL MJSP/MRE Nº 38/2023";"CNIg";1;2025;;"Rio Grande do Sul";2004-05-12;"F";"3_Fundamental";"AFAR FRANCÊS";10105;"Oficial general da aeronáutica";;"";"Solteiro(a)"
"Residência Prévia";"DEFERIDO";"RESOLUÇÃO NORMATIVA 06/2017";"CGIL";1;2025;;"Rio de Janeiro";1991-02-16;"M";"4_Médio";"ALBÂNIA";414110;"Armazenista";910600;"Atividades de apoio à extração de petróleo e gás natural";"Casado(a)"
"Residência Prévia";"DEFERIDO";"RESOLUÇÃO NORMATIVA 03/2017 (Art. 2º)";"CGIL";1;2025;;"Minas Gerais";1988-10-01;"M";"4_Médio";"ALEMANHA";314410;"Técnico em manutenção de máquinas";2862300;"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios";"Solteiro(a)"
"Residência Prévia";"DEFERIDO";"RESOLUÇÃO NORMATIVA 03/2017 (Art. 2º)";"CGIL";1;2025;;"São Paulo";1985-04-26;"M";"5_Superior";"ALEMANHA";314410;"Técnico em manutenção de máquinas";8211300;"Serviços combinados de escritório e apoio administrativo";"Casado(a)"
"Residência";"INDEFERIDO";"RESOLUÇÃO NORMATIVA 30/2018 - Renovação de Residência (RN 40/2019)";"CGIL";1;2025;;"Bahia";1963-07-16;"M";"4_Médio";"ALEMANHA";141410;"Comerciante varejista";;"";"Divorciado(a)"
"Residência Prévia";"DEFERIDO";"RESOLUÇÃO NORMATIVA 03/2017 (Art. 2º)";"CGIL";1;2025;;"Bahia";1963-06-24;"M";"4_Médio";"ALEMANHA";314410;"Técnico em manutenção de máquinas";2862300;"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios";"Solteiro(a)"
"Residência Prévia";"DEFERIDO";"RESOLUÇÃO NORMATIVA 03/2017 (Art. 2º)";"CGIL";1;2025;;"São Paulo";1979-09-12;"M";"4_Médio";"ALEMANHA";314110;"Técnico mecânico";2854200;"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores";"Solteiro(a)"
"Residência Prévia";"DEFERIDO";"RESOLUÇÃO NORMATIVA 03/2017 (Art. 2º)";"CGIL";1;2025;;"Santa Catarina";1980-05-17;"M";"4_Médio";"ALEMANHA";314405;"Técnico de manutenção de sistemas e instrumentos";3314701;"Manutenção e reparação de máquinas motrizes Não-elétricas";"Casado(a)"
